onset(s),measure
1.478187500,1
9.165333333,2
17.532000000,3
20.746666667,4
24.216437500,5
28.565333333,6
31.740416667,7
35.205708333,8
39.145104167,9
43.054187500,10
46.992000000,11
50.592000000,12
54.372000000,13
58.092000000,14
61.691979167,15
65.868000000,16
69.516000000,17
75.315125000,18
83.000854167,19
90.864854167,20
99.924000000,21
107.518145833,22
110.656000000,23
113.991187500,24
117.712312500,25
121.610666667,26
126.498708333,27
129.642666667,28
133.185937500,29
137.077333333,30
140.768000000,31
145.109333333,32
151.176666667,33
151.330000000,34
152.223333333,35
153.096666667,36
153.930000000,37
154.960000000,38
155.946666667,39
156.916666667,40
158.030000000,41
159.071041667,42
159.958979167,43
160.915645833,44
162.040000000,45
162.973333333,46
163.863333333,47
165.083333333,48
166.233333333,49
167.420000000,50
168.320000000,51
169.246666667,52
170.141145833,53
171.010000000,54
171.996666667,55
173.030000000,56
173.213333333,57
174.120000000,58
175.000000000,59
175.903375000,60
176.793333333,61
177.753333333,62
178.750000000,63
179.787750000,64
180.813333333,65
181.902583333,66
182.863333333,67
184.088937500,68
185.033333333,69
186.008458333,70
187.153333333,71
188.396666667,72
189.706666667,73
190.830000000,74
191.716666667,75
192.593333333,76
193.476666667,77
194.431562500,78
195.576375000,79
195.710000000,80
196.663333333,81
197.570000000,82
198.412145833,83
199.430000000,84
200.430000000,85
201.456666667,86
202.473333333,87
203.483333333,88
204.390687500,89
205.370000000,90
206.450270833,91
207.333333333,92
208.680000000,93
210.216666667,94
211.686666667,95
212.543583333,96
213.426666667,97
214.464770833,98
215.384000000,99
215.512000000,100
216.530666667,101
217.440000000,102
218.325333333,103
219.434666667,104
220.474666667,105
221.480000000,106
222.565333333,107
223.541333333,108
224.442708333,109
225.421333333,110
226.408000000,111
227.336000000,112
228.794854167,113
230.307166667,114
232.221333333,115
233.437333333,116
234.421333333,117
235.874666667,118
