onset(s),measure
8.622698413,1
9.781405896,2
13.090249433,3
15.746031746,4
18.648526077,5
22.160544218,6
25.034013605,7
27.749138322,8
30.461678005,9
33.204535147,10
35.729705215,11
38.472562358,12
41.306281179,13
43.847845805,14
46.889795918,15
49.603628118,16
50.895238095,17
53.980249433,18
56.671201814,19
59.559183673,20
62.534240363,21
65.277097506,22
67.903854875,23
70.632199546,24
73.346031746,25
76.018412698,26
78.744671202,27
81.603628118,28
84.215873016,29
87.466666667,30
89.914126984,31
90.941383220,32
93.547392290,33
96.159637188,34
98.887981859,35
101.485714286,36
104.010884354,37
106.361904762,38
108.930612245,39
111.706326531,40
114.358276644,41
116.860566893,42
119.539229025,43
122.006349206,44
124.908843537,45
127.404988662,46
130.452607710,47
132.779410431,48
133.762653061,49
136.344671202,50
138.913378685,51
141.482086168,52
144.282993197,53
146.837188209,54
149.275283447,55
151.814965986,56
154.630385488,57
157.373242630,58
159.950476190,59
162.734467120,60
165.297052154,61
168.141496599,62
170.724716553,63
173.965646259,64
176.921541950,65
179.080000000,66
181.217346939,67
183.394104308,68
185.643537415,69
187.888775510,70
190.127891156,71
192.370362812,72
194.597732426,73
196.881814059,74
199.285260771,75
201.433106576,76
203.769614512,77
205.990022676,78
208.224943311,79
210.706575964,80
213.057596372,81
215.350566893,82
217.803174603,83
220.100068027,84
222.351904762,85
224.812698413,86
227.039523810,87
229.272562358,88
231.523424036,89
234.129705215,90
236.460408163,91
238.796689342,92
241.038684807,93
243.236439909,94
245.405895692,95
247.669841270,96
251.820408163,97
253.062675737,98
254.190566893,99
255.233741497,100
256.322176871,101
257.435714286,102
258.673197279,103
259.913696145,104
261.085170068,105
262.339047619,106
263.479727891,107
264.719092971,108
266.042630385,109
267.215238095,110
268.312380952,111
269.400816327,112
270.489251701,113
271.560272109,114
272.953469388,115
274.183333333,116
275.415170068,117
276.557052154,118
277.733877551,119
278.909387755,120
280.267755102,121
281.511541950,122
282.575238095,123
283.715918367,124
284.856598639,125
285.938526077,126
287.225034014,127
288.505034014,128
289.649365079,129
290.829931973,130
291.996734694,131
293.135895692,132
294.713469388,133
295.897687075,134
297.038367347,135
298.091972789,136
299.215238095,137
300.312380952,138
