onset(s),measure
15.947755102,1
19.526530612,2
22.360816327,3
24.838707483,4
28.031201814,5
31.463038549,6
35.004081633,7
38.112335601,8
41.076326531,9
43.891564626,10
47.020408163,11
49.597823129,12
51.956167800,13
54.288253968,14
56.824603175,15
59.099886621,16
61.405170068,17
63.727165533,18
66.409070295,19
68.812335601,20
71.105283447,21
73.317006803,22
75.546122449,23
77.752018141,24
79.934693878,25
82.138367347,26
85.902267574,27
90.139863946,28
94.029206349,29
100.054784580,30
104.257596372,31
108.100498866,32
113.417868481,33
119.129297052,34
124.226757370,35
130.136235828,36
136.510113379,37
137.613061224,38
138.554920635,39
139.544671202,40
140.604081633,41
141.605442177,42
142.556009070,43
143.666213152,44
144.735192744,45
145.726984127,46
146.735600907,47
147.735736961,48
148.992290249,49
150.074489796,50
150.980498866,51
151.983832200,52
153.077551020,53
154.028117914,54
155.022222222,55
156.161451247,56
157.235374150,57
158.251247166,58
159.187301587,59
160.305736961,60
161.509297052,61
162.576530612,62
163.678458050,63
164.658503401,64
165.775555556,65
166.806349206,66
167.793197279,67
168.905895692,68
169.993197279,69
170.978684807,70
171.994557823,71
172.986145125,72
173.971088435,73
175.055668934,74
176.312018141,75
177.393197279,76
178.525170068,77
179.541043084,78
180.585941043,79
181.679727891,80
182.704761905,81
183.873628118,82
184.997732426,83
186.020861678,84
187.087528345,85
188.073129252,86
189.039455782,87
190.302040816,88
