onset(s),measure
0.559625000,1
5.586354167,2
11.400583333,3
14.538666667,4
17.661020833,5
21.007437500,6
23.850666667,7
27.024000000,8
30.080000000,9
33.034666667,10
36.224000000,11
39.424000000,12
42.474666667,13
45.738666667,14
48.906666667,15
52.106666667,16
55.210666667,17
60.375562500,18
65.487812500,19
71.392000000,20
76.235166667,21
81.558041667,22
84.469333333,23
87.349333333,24
90.325333333,25
93.194666667,26
96.138666667,27
98.879625000,28
101.792000000,29
104.790583333,30
107.552000000,31
110.474666667,32
115.390979167,33
115.593333333,34
116.657333333,35
117.646666667,36
118.608000000,37
119.672000000,38
120.782666667,39
121.776666667,40
122.944812500,41
123.909333333,42
124.936000000,43
125.975291667,44
126.956666667,45
127.995312500,46
129.004833333,47
130.002916667,48
130.979333333,49
131.992000000,50
132.986000000,51
133.933812500,52
134.886458333,53
135.888750000,54
136.936041667,55
137.904666667,56
138.105333333,57
139.034000000,58
140.088666667,59
141.050000000,60
142.118666667,61
143.131333333,62
144.102000000,63
145.204041667,64
146.146000000,65
147.220395833,66
148.185333333,67
149.193333333,68
150.214375000,69
151.116000000,70
152.146791667,71
153.094666667,72
154.065333333,73
155.013916667,74
155.964666667,75
156.926000000,76
157.921750000,77
158.894187500,78
160.006000000,79
160.192666667,80
161.205333333,81
162.180666667,82
163.114000000,83
164.178000000,84
165.218666667,85
166.208000000,86
167.258000000,87
168.280000000,88
169.264666667,89
170.300666667,90
171.290000000,91
172.302666667,92
173.278000000,93
174.272000000,94
175.261333333,95
176.283333333,96
177.263333333,97
178.327333333,98
179.148666667,99
179.298000000,100
180.392750000,101
181.356000000,102
182.214666667,103
183.353333333,104
184.347333333,105
185.350666667,106
186.419333333,107
187.422666667,108
188.418958333,109
189.448604167,110
190.470000000,111
191.370666667,112
192.259312500,113
193.200000000,114
194.133333333,115
195.094666667,116
196.065333333,117
197.143333333,118
