onset(s),measure
1.364770833,1
8.784000000,2
16.496000000,3
23.664000000,4
30.976000000,5
38.880000000,6
46.906666667,7
54.426666667,8
62.032895833,9
69.970104167,10
78.320000000,11
85.626666667,12
93.760000000,13
102.653333333,14
110.480000000,15
118.452437500,16
127.360000000,17
133.980000000,18
136.140000000,19
138.036000000,20
140.052000000,21
142.176000000,22
144.084000000,23
146.052000000,24
148.056000000,25
150.000000000,26
151.920000000,27
154.440000000,28
156.372000000,29
158.280000000,30
160.200000000,31
162.214979167,32
164.640000000,33
166.788000000,34
168.684000000,35
170.592000000,36
172.682666667,37
174.592000000,38
176.896000000,39
179.018666667,40
180.896000000,41
182.933333333,42
184.864000000,43
186.944000000,44
189.077333333,45
191.328000000,46
193.173333333,47
195.072000000,48
201.973333333,49
203.280000000,50
204.536625000,51
205.760000000,52
207.061333333,53
208.341333333,54
209.626666667,55
210.905333333,56
212.464000000,57
213.838979167,58
215.133333333,59
216.430666667,60
217.774666667,61
219.154416667,62
220.472000000,63
221.769333333,64
223.242041667,65
224.644000000,66
225.941333333,67
227.341333333,68
228.694666667,69
230.076000000,70
231.401333333,71
232.756895833,72
234.677333333,73
236.161333333,74
237.477333333,75
238.812000000,76
240.193333333,77
241.574666667,78
242.872000000,79
244.188000000,80
245.672000000,81
247.034666667,82
248.341333333,83
249.769333333,84
251.005708333,85
252.457333333,86
253.857333333,87
255.201333333,88
257.254666667,89
258.876437500,90
260.222666667,91
261.604000000,92
263.032000000,93
264.581333333,94
266.018666667,95
267.418666667,96
