onset(s),measure
0.320000000,1
4.908000000,2
9.139791667,3
13.089354167,4
17.433333333,5
21.216000000,6
25.596000000,7
29.121187500,8
31.913333333,9
35.532000000,10
40.386666667,11
46.620000000,12
48.037750000,13
49.431208333,14
50.733333333,15
52.206666667,16
53.666666667,17
55.053333333,18
56.591062500,19
57.961187500,20
59.326666667,21
60.846666667,22
62.366666667,23
63.900000000,24
65.333333333,25
66.755458333,26
68.433333333,27
70.116000000,28
71.480000000,29
72.888000000,30
74.345041667,31
75.833958333,32
77.622708333,33
79.457770833,34
80.906666667,35
82.373333333,36
83.886666667,37
85.821229167,38
87.293333333,39
88.726666667,40
90.233333333,41
91.606666667,42
93.140000000,43
94.613187500,44
96.046666667,45
97.506666667,46
98.953937500,47
100.480770833,48
101.960000000,49
103.710979167,50
105.080000000,51
106.496062500,52
107.880000000,53
109.503895833,54
111.055791667,55
112.592250000,56
114.058000000,57
115.560000000,58
117.060000000,59
121.593333333,60
128.266666667,61
134.714166667,62
140.473333333,63
147.160000000,64
153.160000000,65
158.960000000,66
165.680000000,67
172.606666667,68
179.013333333,69
179.282062500,70
180.273333333,71
181.246666667,72
182.253333333,73
183.300000000,74
184.302000000,75
185.323437500,76
186.372000000,77
187.380000000,78
188.429062500,79
189.446479167,80
190.446000000,81
191.465145833,82
192.414979167,83
193.417812500,84
194.421687500,85
195.622750000,86
196.740291667,87
197.709666667,88
197.946000000,89
198.882000000,90
199.836000000,91
200.826666667,92
201.846000000,93
202.806000000,94
203.850000000,95
204.804000000,96
205.867437500,97
206.868354167,98
207.900000000,99
208.912333333,100
209.934000000,101
210.924000000,102
211.942000000,103
212.993520833,104
214.087229167,105
215.181583333,106
216.006000000,107
216.300000000,108
217.302000000,109
218.410416667,110
219.376437500,111
220.554000000,112
221.574000000,113
222.576000000,114
223.578000000,115
224.642125000,116
225.624000000,117
227.370000000,118
228.383895833,119
229.380000000,120
230.398854167,121
231.588000000,122
232.649875000,123
233.622000000,124
234.642000000,125
235.644000000,126
236.652000000,127
237.993937500,128
239.424000000,129
