onset(s),measure
0.564666667,1
5.674666667,2
11.027333333,3
16.137333333,4
22.263333333,5
23.616000000,6
24.885333333,7
26.323333333,8
27.666666667,9
29.143333333,10
30.549333333,11
31.797333333,12
33.237333333,13
34.716666667,14
36.040000000,15
37.660000000,16
39.123333333,17
40.463333333,18
42.393333333,19
43.808604167,20
45.446666667,21
46.920000000,22
48.140000000,23
49.587187500,24
53.386666667,25
58.346666667,26
63.192000000,27
69.796000000,28
76.435458333,29
77.872000000,30
79.194666667,31
80.778666667,32
82.413333333,33
84.130666667,34
85.698666667,35
87.528000000,36
88.856000000,37
90.349333333,38
91.986666667,39
93.672000000,40
95.312000000,41
96.696000000,42
98.188958333,43
100.045333333,44
101.616000000,45
102.821333333,46
104.005333333,47
105.312000000,48
106.933333333,49
108.176000000,50
109.709333333,51
111.624000000,52
113.328000000,53
114.757333333,54
116.224000000,55
120.098666667,56
128.600000000,57
135.600000000,58
141.888000000,59
147.578666667,60
153.640000000,61
161.218666667,62
162.619854167,63
164.128000000,64
165.576000000,65
166.832000000,66
168.195229167,67
169.624000000,68
171.208000000,69
174.418666667,70
174.734000000,71
175.621333333,72
176.471062500,73
177.344000000,74
178.364000000,75
179.240041667,76
180.090000000,77
180.968000000,78
181.994666667,79
182.320000000,80
183.189333333,81
184.036000000,82
184.997333333,83
185.877333333,84
186.718000000,85
187.576000000,86
188.438000000,87
189.514666667,88
189.794166667,89
190.734000000,90
191.580000000,91
192.444000000,92
193.466000000,93
194.352000000,94
195.178666667,95
196.149333333,96
197.312000000,97
197.589333333,98
198.480000000,99
199.336000000,100
200.218000000,101
201.280000000,102
202.193312500,103
203.053416667,104
204.202666667,105
206.432000000,106
206.714666667,107
207.644000000,108
208.781625000,109
209.600000000,110
211.212000000,111
212.178000000,112
213.310000000,113
214.180000000,114
215.454000000,115
216.296000000,116
217.106000000,117
217.970000000,118
219.294937500,119
220.098000000,120
220.976000000,121
221.774000000,122
223.058000000,123
223.936000000,124
224.968000000,125
226.074666667,126
227.248000000,127
227.508000000,128
228.496000000,129
229.856000000,130
230.740000000,131
231.942000000,132
232.869333333,133
233.924000000,134
234.800000000,135
236.010666667,136
236.828000000,137
237.690666667,138
238.500000000,139
239.616000000,140
240.482000000,141
241.328000000,142
242.170666667,143
243.408000000,144
244.288000000,145
245.274000000,146
246.290000000,147
247.797333333,148
248.096000000,149
249.118000000,150
250.234666667,151
251.194666667,152
252.565333333,153
253.580000000,154
254.872000000,155
255.802666667,156
257.541333333,157
258.688000000,158
259.648000000,159
260.640000000,160
261.602000000,161
262.778666667,162
264.005333333,163
265.206000000,164
266.664000000,165
267.512000000,166
268.800000000,167
270.064000000,168
271.220000000,169
271.476000000,170
272.468000000,171
273.530666667,172
274.464000000,173
275.818000000,174
276.658000000,175
278.092583333,176
278.981333333,177
280.768000000,178
282.005333333,179
282.952000000,180
283.942000000,181
284.858666667,182
286.106666667,183
287.482666667,184
288.746666667,185
290.538666667,186
291.402666667,187
292.720000000,188
294.058666667,189
295.813333333,190
296.238000000,191
297.146666667,192
298.010666667,193
298.869333333,194
299.806000000,195
300.661333333,196
301.546666667,197
302.410666667,198
303.402666667,199
303.685333333,200
304.533333333,201
305.392000000,202
306.244000000,203
307.111062500,204
307.957375000,205
308.846375000,206
309.748354167,207
310.796000000,208
311.064000000,209
311.946666667,210
312.789333333,211
313.712000000,212
314.693333333,213
315.578666667,214
316.426666667,215
317.368000000,216
318.516000000,217
318.772000000,218
319.648000000,219
320.508000000,220
321.424000000,221
322.522000000,222
323.400000000,223
324.339895833,224
325.578666667,225
