onset(s),measure
0.298666667,1
1.365333333,2
4.117333333,3
6.492000000,4
8.696000000,5
11.840000000,6
14.352000000,7
16.362666667,8
18.464000000,9
20.320000000,10
22.476000000,11
24.336000000,12
26.584000000,13
28.352000000,14
30.672000000,15
33.456000000,16
34.352000000,17
36.770520833,18
39.120000000,19
41.136000000,20
43.904000000,21
46.016000000,22
48.069000000,23
50.199000000,24
52.035000000,25
54.090437500,26
56.055000000,27
58.380000000,28
60.274145833,29
63.433020833,30
66.224000000,31
67.232000000,32
69.408000000,33
71.340000000,34
73.256354167,35
76.208000000,36
78.416000000,37
80.400000000,38
82.302000000,39
84.544000000,40
86.430958333,41
88.767000000,42
90.779812500,43
93.411000000,44
95.664000000,45
97.395000000,46
99.952000000,47
102.448000000,48
103.377000000,49
105.639000000,50
107.696000000,51
109.856000000,52
113.046000000,53
115.311000000,54
117.440000000,55
119.292000000,56
121.616000000,57
123.488000000,58
125.360000000,59
127.104000000,60
129.024000000,61
131.328000000,62
133.416000000,63
136.920000000,64
142.752000000,65
145.002000000,66
147.318000000,67
149.520000000,68
151.476000000,69
153.831000000,70
155.798020833,71
157.713000000,72
159.872000000,73
161.634000000,74
164.433000000,75
166.434000000,76
168.320000000,77
170.240000000,78
172.128000000,79
174.416000000,80
176.992000000,81
178.800000000,82
181.357645833,83
183.392000000,84
185.088000000,85
187.422729167,86
189.577729167,87
191.568458333,88
193.696000000,89
196.224000000,90
198.528000000,91
200.472000000,92
202.430854167,93
204.264000000,94
205.983000000,95
207.744000000,96
214.184979167,97
215.136000000,98
216.066666667,99
217.016000000,100
217.936000000,101
218.896583333,102
220.506666667,103
221.744000000,104
222.792000000,105
223.872000000,106
224.821333333,107
225.858666667,108
227.872000000,109
228.896000000,110
229.837333333,111
230.728000000,112
231.672000000,113
232.619333333,114
234.448000000,115
235.594333333,116
236.616333333,117
237.584000000,118
238.553000000,119
239.579666667,120
241.728000000,121
242.785791667,122
243.758395833,123
244.722333333,124
245.664000000,125
246.626333333,126
248.800000000,127
250.049333333,128
251.062000000,129
252.018666667,130
253.010333333,131
254.097666667,132
256.976000000,133
257.962666667,134
258.896000000,135
259.849062500,136
260.773333333,137
261.741666667,138
